,날짜,종목번호,시가,최고가,최저가,종가,거래량,일일주가변동률,유동주식,기준,ETF_지수
0,2020-01-02,1668870,1052399,1055576,1029530,1037704,6538275,0.0,2507158926,20_High,100.0
1,2020-01-03,1668870,1042069,1049462,1025372,1034244,7554283,0.011180850000000004,2507158926,20_High,99.66657158496064
2,2020-01-06,1668870,1027530,1035463,1009875,1017102,7248474,-0.24980564,2507158926,20_High,98.0146554316067
3,2020-01-07,1668870,1017224,1030183,1007562,1021561,5636583,0.07528295,2507158926,20_High,98.44435407399412
4,2020-01-08,1668870,1011082,1015077,971313,980495,9594120,-0.46033238,2507158926,20_High,94.48696352717153
5,2020-01-09,1668870,990392,1003943,981799,992198,12587156,0.07168731,2507158926,20_High,95.61474177607488
6,2020-01-10,1668870,993988,1003160,984389,993226,7844360,-0.03031995,2507158926,20_High,95.71380663464726
7,2020-01-13,1668870,996915,1007355,984975,998390,6619358,0.031267630000000005,2507158926,20_High,96.2114437257638
8,2020-01-14,1668870,998942,1012287,989283,1000589,8482212,0.06256107,2507158926,20_High,96.42335386584229
9,2020-01-15,1668870,997152,1019613,989379,1011317,7047450,0.09391896,2507158926,20_High,97.45717468565218
10,2020-01-16,1668870,1010511,1020763,996939,1012609,7568272,-0.030459769999999997,2507158926,20_High,97.58168032502525
11,2020-01-17,1668870,1012668,1028437,1003950,1012586,7620960,-0.023459940000000006,2507158926,20_High,97.57946389336458
12,2020-01-20,1668870,1012372,1023697,999196,1010999,6950896,-0.005971220000000001,2507158926,20_High,97.4265301087786
13,2020-01-21,1668870,1009714,1020031,998492,1004795,5207810,-0.09419303,2507158926,20_High,96.82867175996238
14,2020-01-22,1668870,1009861,1018159,997572,1007510,5455408,0.03603968,2507158926,20_High,97.09030706251494
15,2020-01-23,1668870,1002283,1011603,988832,1004951,6029032,-0.06353734999999999,2507158926,20_High,96.84370494861734
16,2020-01-28,1668870,977887,993797,959869,968685,10439097,-0.57140428,2507158926,20_High,93.34887405271638
17,2020-01-29,1668870,969838,987874,962855,978495,6287177,0.1493957,2507158926,20_High,94.2942303392875
18,2020-01-30,1668870,978674,993064,960784,972501,8245981,-0.19738658,2507158926,20_High,93.7166089751991
19,2020-01-31,1668870,976639,984922,949179,956782,8572359,-0.18483507999999998,2507158926,20_High,92.20182248502464
20,2020-02-03,1668870,943399,959815,928573,949504,9294832,-0.10925941,2507158926,20_High,91.50046641431467
21,2020-02-04,1668870,948555,969037,944494,954519,8911457,0.04418130000000001,2507158926,20_High,91.98374488293386
22,2020-02-05,1668870,961794,978039,952994,967201,9262715,0.12844984,2507158926,20_High,93.20586602730644
23,2020-02-06,1668870,975503,994529,968523,988241,10679973,0.31299433,2507158926,20_High,95.23341916384634
24,2020-02-07,1668870,984496,992713,969879,978960,11083637,-0.13847627,2507158926,20_High,94.33904080547055
25,2020-02-10,1668870,971173,985004,959623,977411,8790679,-0.058431800000000006,2507158926,20_High,94.18976895145437
